"sex","age_cat","race","priors_count","c_charge_degree","length_of_stay","two_year_recid"
"Male","25 - 45","African-American",5,"F",4,"1"
"Female","25 - 45","Caucasian",0,"M",5,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","Caucasian",6,"M",0,"0"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","< 25","African-American",3,"F",4,"1"
"Male","25 - 45","Caucasian",2,"M",0,"0"
"Female","25 - 45","African-American",0,"M",0,"0"
"Male","25 - 45","African-American",8,"F",20,"1"
"Male","> 45","Caucasian",2,"M",0,"1"
"Male","25 - 45","Caucasian",3,"M",1,"0"
"Male","< 25","African-American",2,"M",2,"1"
"Female","> 45","African-American",14,"M",122,"1"
"Male","25 - 45","Caucasian",9,"M",5,"1"
"Male","25 - 45","Caucasian",9,"M",33,"0"
"Male","25 - 45","African-American",1,"M",0,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",19,"M",17,"1"
"Male","25 - 45","African-American",1,"F",16,"0"
"Female","25 - 45","African-American",0,"F",2,"1"
"Male","> 45","Caucasian",0,"F",7,"0"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",5,"M",0,"0"
"Male","25 - 45","African-American",11,"F",117,"0"
"Male","25 - 45","Caucasian",4,"M",1,"1"
"Male","25 - 45","African-American",0,"M",1,"1"
"Male","< 25","African-American",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",10,"M",5,"1"
"Male","> 45","African-American",4,"F",30,"0"
"Male","25 - 45","African-American",1,"F",230,"0"
"Male","< 25","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",8,"M",85,"1"
"Male","25 - 45","Caucasian",5,"M",1,"1"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Male","< 25","African-American",0,"F",1,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Female","25 - 45","Caucasian",3,"F",25,"0"
"Male","< 25","Caucasian",1,"F",0,"1"
"Female","< 25","African-American",0,"M",0,"1"
"Male","> 45","African-American",4,"F",2,"0"
"Male","25 - 45","Caucasian",10,"F",5,"1"
"Female","> 45","African-American",3,"M",18,"0"
"Male","< 25","Caucasian",3,"M",0,"0"
"Male","< 25","African-American",0,"F",71,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",10,"F",73,"1"
"Male","25 - 45","Caucasian",1,"F",1,"1"
"Male","< 25","Caucasian",0,"M",3,"1"
"Male","25 - 45","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",19,"F",1,"1"
"Female","25 - 45","African-American",1,"M",1,"1"
"Male","25 - 45","African-American",6,"F",2,"0"
"Male","25 - 45","African-American",2,"F",274,"0"
"Male","25 - 45","Caucasian",11,"F",1,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",1,"F",1,"1"
"Male","25 - 45","African-American",7,"F",0,"1"
"Male","< 25","African-American",2,"F",2,"1"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","< 25","African-American",2,"M",12,"1"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","Caucasian",15,"F",71,"1"
"Male","25 - 45","African-American",2,"M",0,"1"
"Male","25 - 45","African-American",10,"F",2,"1"
"Female","< 25","African-American",4,"M",43,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",8,"F",173,"0"
"Male","25 - 45","Caucasian",5,"F",7,"1"
"Male","25 - 45","African-American",14,"F",2,"1"
"Male","25 - 45","African-American",13,"F",1,"1"
"Male","25 - 45","African-American",9,"F",24,"1"
"Male","25 - 45","African-American",0,"M",1,"0"
"Female","> 45","African-American",21,"F",20,"1"
"Male","> 45","African-American",1,"F",61,"0"
"Male","25 - 45","African-American",4,"F",33,"0"
"Male","25 - 45","African-American",5,"F",28,"1"
"Male","25 - 45","Caucasian",1,"F",31,"1"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",11,"F",40,"1"
"Male","< 25","African-American",3,"M",7,"0"
"Male","25 - 45","African-American",6,"F",18,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",2,"F",43,"1"
"Male","< 25","African-American",3,"F",2,"1"
"Male","< 25","African-American",0,"F",3,"0"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",18,"M",18,"0"
"Male","25 - 45","African-American",1,"F",290,"0"
"Male","25 - 45","Caucasian",2,"F",48,"1"
"Male","25 - 45","Caucasian",3,"M",2,"0"
"Male","> 45","African-American",5,"M",5,"0"
"Male","< 25","African-American",0,"F",0,"1"
"Male","25 - 45","African-American",7,"F",1,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","< 25","Caucasian",0,"F",4,"0"
"Male","25 - 45","African-American",10,"M",109,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","25 - 45","African-American",8,"F",0,"1"
"Male","25 - 45","African-American",1,"F",1,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",1,"F",8,"0"
"Male","< 25","Caucasian",0,"F",1,"1"
"Male","25 - 45","African-American",1,"F",2,"0"
"Female","< 25","African-American",6,"M",310,"0"
"Male","25 - 45","Caucasian",0,"F",3,"0"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Male","> 45","Caucasian",1,"F",30,"1"
"Male","25 - 45","African-American",0,"F",7,"0"
"Male","< 25","African-American",0,"F",1,"0"
"Male","< 25","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",1,"M",2,"0"
"Male","> 45","Caucasian",9,"M",4,"0"
"Male","25 - 45","African-American",2,"M",0,"0"
"Male","25 - 45","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","25 - 45","Caucasian",0,"F",28,"0"
"Male","< 25","Caucasian",1,"F",37,"1"
"Male","25 - 45","African-American",4,"M",1,"1"
"Male","> 45","Caucasian",3,"M",1,"1"
"Male","> 45","African-American",0,"F",2,"0"
"Male","> 45","African-American",8,"F",100,"1"
"Male","25 - 45","African-American",5,"M",1,"0"
"Male","25 - 45","African-American",9,"F",25,"0"
"Male","> 45","African-American",5,"F",243,"1"
"Female","25 - 45","Caucasian",0,"F",1,"0"
"Male","> 45","African-American",5,"M",0,"0"
"Male","> 45","Caucasian",0,"F",1,"1"
"Male","> 45","Caucasian",2,"F",2,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","> 45","African-American",4,"F",1,"1"
"Female","25 - 45","African-American",0,"F",0,"0"
"Male","> 45","African-American",16,"F",29,"0"
"Male","25 - 45","African-American",21,"F",64,"1"
"Male","25 - 45","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",8,"F",14,"1"
"Male","< 25","African-American",1,"F",8,"0"
"Male","25 - 45","Caucasian",1,"M",0,"1"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","> 45","Caucasian",1,"M",1,"1"
"Male","> 45","Caucasian",0,"M",14,"1"
"Male","> 45","African-American",2,"F",1,"0"
"Female","25 - 45","African-American",11,"F",15,"1"
"Male","25 - 45","African-American",4,"M",30,"0"
"Male","25 - 45","African-American",14,"F",2,"1"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","> 45","African-American",5,"F",202,"1"
"Male","25 - 45","African-American",0,"F",34,"1"
"Male","25 - 45","African-American",12,"F",25,"0"
"Male","25 - 45","Caucasian",7,"F",1,"1"
"Male","25 - 45","African-American",8,"F",4,"0"
"Female","25 - 45","African-American",1,"M",2,"0"
"Male","25 - 45","Caucasian",4,"F",183,"0"
"Female","25 - 45","African-American",0,"M",1,"0"
"Female","> 45","Caucasian",7,"M",76,"0"
"Male","25 - 45","Caucasian",1,"F",49,"1"
"Male","> 45","African-American",1,"F",3,"0"
"Male","25 - 45","Caucasian",0,"M",3,"1"
"Female","25 - 45","African-American",4,"M",1,"0"
"Male","25 - 45","African-American",3,"F",95,"0"
"Male","25 - 45","African-American",4,"F",1,"0"
"Male","> 45","African-American",0,"M",1,"0"
"Male","25 - 45","African-American",2,"M",2,"0"
"Male","> 45","African-American",5,"F",12,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",4,"F",1,"1"
"Male","25 - 45","African-American",0,"M",0,"0"
"Male","25 - 45","Caucasian",1,"M",3,"0"
"Female","25 - 45","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",13,"M",0,"1"
"Male","25 - 45","African-American",9,"F",1,"0"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Female","25 - 45","African-American",4,"F",10,"1"
"Male","25 - 45","Caucasian",0,"F",116,"0"
"Male","> 45","Caucasian",5,"M",0,"0"
"Female","25 - 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","African-American",3,"F",1,"0"
"Female","> 45","African-American",7,"M",1,"0"
"Male","< 25","African-American",0,"F",50,"0"
"Male","25 - 45","African-American",2,"F",3,"1"
"Female","< 25","African-American",0,"M",1,"0"
"Male","25 - 45","African-American",1,"F",2,"0"
"Female","< 25","Caucasian",1,"F",1,"0"
"Male","25 - 45","African-American",13,"M",1,"1"
"Male","> 45","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","< 25","Caucasian",0,"M",1,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Female","25 - 45","African-American",7,"M",2,"0"
"Male","< 25","African-American",1,"F",16,"1"
"Male","< 25","African-American",3,"F",2,"1"
"Male","25 - 45","African-American",2,"M",3,"0"
"Male","> 45","Caucasian",2,"M",3,"0"
"Male","> 45","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",19,"F",62,"0"
"Male","< 25","African-American",1,"M",1,"1"
"Male","25 - 45","African-American",7,"F",13,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",2,"M",4,"0"
"Male","25 - 45","African-American",11,"F",45,"1"
"Male","25 - 45","Caucasian",6,"F",1,"1"
"Male","> 45","African-American",38,"F",87,"1"
"Male","25 - 45","African-American",7,"F",1,"1"
"Female","25 - 45","Caucasian",7,"F",9,"0"
"Male","25 - 45","Caucasian",0,"F",1,"0"
"Male","> 45","Caucasian",4,"F",6,"0"
"Male","< 25","Caucasian",0,"F",19,"0"
"Male","25 - 45","African-American",1,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",2,"0"
"Male","< 25","African-American",1,"F",6,"1"
"Male","25 - 45","Caucasian",7,"M",28,"1"
"Male","25 - 45","Caucasian",0,"M",18,"0"
"Male","25 - 45","African-American",13,"F",14,"1"
"Male","25 - 45","Caucasian",2,"F",8,"1"
"Male","< 25","Caucasian",0,"F",4,"1"
"Male","25 - 45","African-American",4,"F",86,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Female","25 - 45","African-American",0,"M",7,"1"
"Male","> 45","Caucasian",1,"M",5,"1"
"Male","25 - 45","African-American",4,"F",1,"0"
"Male","25 - 45","African-American",4,"F",530,"1"
"Male","< 25","Caucasian",5,"F",5,"1"
"Male","< 25","Caucasian",0,"F",3,"1"
"Male","25 - 45","African-American",2,"F",27,"0"
"Male","25 - 45","African-American",1,"F",1,"1"
"Female","25 - 45","Caucasian",2,"F",1,"0"
"Male","25 - 45","African-American",23,"F",370,"1"
"Male","< 25","African-American",0,"F",0,"0"
"Male","25 - 45","African-American",4,"F",93,"0"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",1,"F",1,"1"
"Female","< 25","Caucasian",0,"F",37,"0"
"Male","> 45","Caucasian",2,"M",1,"0"
"Male","25 - 45","African-American",9,"F",3,"0"
"Female","25 - 45","African-American",0,"M",0,"0"
"Male","< 25","African-American",3,"F",128,"0"
"Male","25 - 45","African-American",0,"F",2,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",6,"F",0,"0"
"Male","> 45","Caucasian",9,"F",55,"1"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",4,"F",80,"0"
"Male","25 - 45","Caucasian",1,"F",69,"1"
"Male","25 - 45","Caucasian",2,"F",1,"0"
"Female","> 45","African-American",4,"F",1,"0"
"Female","> 45","African-American",0,"F",1,"0"
"Male","25 - 45","Caucasian",8,"F",1,"0"
"Male","25 - 45","African-American",12,"F",6,"1"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",11,"F",19,"1"
"Female","25 - 45","African-American",5,"F",1,"0"
"Male","< 25","African-American",2,"F",18,"0"
"Female","> 45","African-American",1,"F",55,"1"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","Caucasian",1,"F",3,"0"
"Male","> 45","Caucasian",11,"F",13,"1"
"Male","> 45","Caucasian",2,"F",2,"0"
"Male","> 45","African-American",4,"M",8,"0"
"Male","> 45","African-American",21,"F",85,"1"
"Female","> 45","Caucasian",1,"F",1,"0"
"Female","25 - 45","African-American",9,"M",2,"1"
"Female","> 45","Caucasian",0,"F",0,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","25 - 45","Caucasian",5,"M",0,"1"
"Male","< 25","African-American",1,"F",59,"1"
"Male","25 - 45","African-American",26,"F",2,"1"
"Male","< 25","African-American",1,"F",49,"1"
"Male","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",4,"F",0,"1"
"Female","25 - 45","African-American",3,"F",1,"1"
"Male","25 - 45","Caucasian",3,"F",12,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",11,"F",1,"1"
"Male","> 45","African-American",5,"F",2,"1"
"Male","< 25","African-American",1,"F",218,"1"
"Male","25 - 45","African-American",18,"F",9,"1"
"Male","25 - 45","African-American",15,"F",55,"0"
"Male","25 - 45","African-American",0,"F",0,"0"
"Male","25 - 45","African-American",8,"M",1,"1"
"Female","25 - 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","Caucasian",6,"M",1,"0"
"Male","25 - 45","African-American",3,"F",1,"1"
"Male","> 45","Caucasian",13,"F",74,"1"
"Female","25 - 45","African-American",0,"M",1,"0"
"Female","25 - 45","Caucasian",2,"F",12,"1"
"Male","25 - 45","African-American",3,"F",1,"0"
"Female","> 45","Caucasian",3,"F",1,"0"
"Male","25 - 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","Caucasian",5,"F",1,"1"
"Male","> 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","Caucasian",2,"F",1,"0"
"Male","> 45","Caucasian",0,"M",2,"0"
"Female","25 - 45","Caucasian",4,"M",55,"1"
"Male","> 45","Caucasian",9,"F",1,"0"
"Female","25 - 45","Caucasian",0,"F",1,"0"
"Male","< 25","Caucasian",0,"F",3,"0"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",4,"M",16,"1"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",4,"F",1,"0"
"Female","< 25","African-American",1,"F",1,"1"
"Male","25 - 45","Caucasian",0,"M",1,"1"
"Male","25 - 45","African-American",3,"F",34,"1"
"Male","> 45","African-American",1,"F",7,"0"
"Male","25 - 45","Caucasian",3,"F",1,"1"
"Male","25 - 45","African-American",14,"F",1,"1"
"Male","< 25","African-American",0,"M",1,"0"
"Male","> 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",37,"M",31,"1"
"Male","< 25","African-American",2,"F",238,"0"
"Male","25 - 45","African-American",0,"M",1,"1"
"Male","< 25","African-American",1,"F",16,"1"
"Male","25 - 45","African-American",2,"F",193,"1"
"Female","25 - 45","Caucasian",2,"F",1,"0"
"Female","25 - 45","African-American",7,"F",2,"1"
"Male","25 - 45","Caucasian",7,"F",76,"1"
"Male","25 - 45","African-American",0,"M",1,"1"
"Male","25 - 45","African-American",1,"F",14,"0"
"Female","25 - 45","African-American",3,"F",5,"1"
"Male","25 - 45","African-American",1,"F",0,"1"
"Male","> 45","Caucasian",3,"F",120,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",1,"F",2,"0"
"Male","25 - 45","African-American",15,"F",2,"1"
"Male","> 45","African-American",6,"F",14,"1"
"Male","< 25","African-American",17,"F",130,"1"
"Male","< 25","African-American",1,"F",242,"1"
"Male","< 25","African-American",0,"F",1,"0"
"Female","> 45","African-American",1,"F",6,"0"
"Male","25 - 45","African-American",1,"M",0,"1"
"Male","> 45","African-American",10,"F",10,"1"
"Male","< 25","Caucasian",1,"F",13,"0"
"Male","25 - 45","Caucasian",6,"F",2,"1"
"Male","> 45","African-American",1,"M",71,"1"
"Male","> 45","Caucasian",0,"M",0,"0"
"Female","25 - 45","African-American",9,"M",214,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",10,"F",8,"1"
"Male","< 25","Caucasian",3,"F",127,"1"
"Male","> 45","African-American",0,"M",3,"0"
"Male","< 25","African-American",3,"F",1,"1"
"Male","25 - 45","African-American",13,"F",1,"0"
"Male","> 45","African-American",3,"M",21,"1"
"Male","25 - 45","African-American",5,"F",5,"1"
"Male","> 45","African-American",2,"F",3,"0"
"Female","25 - 45","African-American",7,"F",179,"0"
"Male","< 25","Caucasian",0,"M",9,"1"
"Male","> 45","Caucasian",1,"M",1,"0"
"Female","< 25","Caucasian",0,"F",1,"1"
"Male","< 25","African-American",0,"M",3,"0"
"Male","> 45","African-American",1,"F",3,"0"
"Female","25 - 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"F",0,"1"
"Male","25 - 45","African-American",2,"F",0,"1"
"Male","25 - 45","Caucasian",3,"F",1,"0"
"Male","25 - 45","African-American",3,"M",2,"1"
"Male","25 - 45","African-American",7,"F",10,"1"
"Male","25 - 45","African-American",1,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",41,"1"
"Female","25 - 45","Caucasian",2,"F",1,"0"
"Male","25 - 45","African-American",21,"F",2,"1"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","< 25","African-American",0,"F",4,"1"
"Female","25 - 45","African-American",0,"M",0,"0"
"Male","25 - 45","African-American",25,"F",41,"1"
"Female","< 25","Caucasian",0,"F",3,"0"
"Male","25 - 45","Caucasian",0,"M",5,"1"
"Male","25 - 45","Caucasian",0,"F",1,"0"
"Male","< 25","African-American",1,"M",0,"1"
"Male","> 45","Caucasian",0,"F",2,"1"
"Male","25 - 45","African-American",11,"F",65,"1"
"Male","25 - 45","Caucasian",0,"F",2,"1"
"Male","25 - 45","Caucasian",1,"M",24,"0"
"Male","25 - 45","African-American",2,"M",0,"1"
"Female","25 - 45","African-American",12,"F",1,"1"
"Male","25 - 45","African-American",19,"M",0,"1"
"Male","> 45","Caucasian",2,"M",46,"0"
"Male","25 - 45","African-American",3,"F",1,"0"
"Male","> 45","African-American",15,"F",1,"1"
"Male","25 - 45","African-American",9,"F",16,"1"
"Female","25 - 45","African-American",1,"F",4,"0"
"Male","< 25","African-American",1,"M",1,"0"
"Male","> 45","African-American",1,"F",1,"0"
"Male","25 - 45","Caucasian",1,"M",1,"0"
"Male","< 25","African-American",3,"F",1,"1"
"Male","25 - 45","Caucasian",1,"M",1,"1"
"Male","25 - 45","Caucasian",1,"F",0,"0"
"Male","< 25","Caucasian",1,"F",22,"1"
"Male","< 25","African-American",1,"F",1,"1"
"Male","25 - 45","Caucasian",4,"F",8,"1"
"Male","25 - 45","Caucasian",5,"F",1,"0"
"Male","25 - 45","African-American",6,"M",1,"1"
"Female","< 25","African-American",4,"F",55,"1"
"Male","> 45","African-American",1,"M",1,"0"
"Female","25 - 45","African-American",2,"M",1,"1"
"Male","25 - 45","Caucasian",0,"M",2,"0"
"Male","> 45","African-American",22,"F",1,"1"
"Male","25 - 45","African-American",4,"F",2,"1"
"Male","25 - 45","Caucasian",2,"F",1,"0"
"Female","< 25","African-American",1,"F",4,"0"
"Male","< 25","African-American",3,"F",1,"0"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","25 - 45","African-American",7,"F",54,"1"
"Female","25 - 45","African-American",14,"F",5,"1"
"Male","25 - 45","Caucasian",2,"M",1,"0"
"Male","< 25","African-American",6,"F",1,"1"
"Male","25 - 45","African-American",2,"M",29,"0"
"Male","25 - 45","African-American",7,"M",1,"0"
"Female","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","Caucasian",10,"M",84,"1"
"Male","< 25","Caucasian",0,"F",0,"0"
"Male","25 - 45","African-American",5,"F",7,"1"
"Male","25 - 45","Caucasian",4,"M",1,"0"
"Male","> 45","African-American",8,"F",279,"1"
"Male","< 25","African-American",1,"F",0,"1"
"Male","> 45","Caucasian",1,"F",12,"0"
"Male","> 45","Caucasian",5,"F",8,"0"
"Female","< 25","African-American",0,"F",1,"0"
"Female","25 - 45","Caucasian",2,"F",0,"0"
"Male","25 - 45","Caucasian",8,"F",42,"1"
"Male","> 45","Caucasian",1,"M",3,"0"
"Male","25 - 45","Caucasian",2,"F",1,"0"
"Male","25 - 45","Caucasian",0,"F",3,"1"
"Male","< 25","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",3,"F",1,"0"
"Male","< 25","Caucasian",0,"F",1,"0"
"Male","< 25","Caucasian",0,"F",8,"1"
"Female","25 - 45","Caucasian",4,"F",1,"1"
"Male","< 25","African-American",1,"F",6,"1"
"Male","> 45","African-American",3,"F",1,"0"
"Male","25 - 45","African-American",7,"F",78,"1"
"Male","< 25","African-American",1,"F",16,"1"
"Male","25 - 45","Caucasian",0,"M",13,"0"
"Male","> 45","Caucasian",3,"F",1,"0"
"Male","25 - 45","Caucasian",4,"F",78,"0"
"Male","> 45","African-American",0,"F",1,"0"
"Male","> 45","African-American",17,"F",47,"1"
"Male","25 - 45","African-American",8,"F",1,"1"
"Male","< 25","Caucasian",1,"F",1,"0"
"Male","25 - 45","Caucasian",9,"F",1,"0"
"Male","25 - 45","Caucasian",0,"M",1,"1"
"Male","25 - 45","Caucasian",1,"M",0,"1"
"Male","25 - 45","African-American",1,"F",1,"0"
"Male","< 25","African-American",2,"F",2,"1"
"Male","> 45","Caucasian",4,"F",3,"0"
"Male","25 - 45","African-American",4,"F",0,"0"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",1,"M",1,"1"
"Male","> 45","Caucasian",1,"F",1,"0"
"Male","> 45","African-American",1,"M",1,"1"
"Male","> 45","Caucasian",0,"F",28,"0"
"Male","< 25","Caucasian",3,"M",1,"1"
"Male","25 - 45","African-American",1,"F",1,"0"
"Female","25 - 45","African-American",10,"M",4,"1"
"Male","25 - 45","African-American",10,"M",1,"1"
"Male","25 - 45","African-American",6,"F",1,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","> 45","Caucasian",10,"F",23,"0"
"Male","25 - 45","African-American",1,"F",1,"1"
"Male","> 45","African-American",10,"F",4,"1"
"Male","25 - 45","African-American",4,"M",0,"0"
"Male","25 - 45","Caucasian",10,"F",1,"1"
"Male","25 - 45","African-American",4,"F",7,"0"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",3,"M",2,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","> 45","Caucasian",0,"F",30,"0"
"Male","25 - 45","Caucasian",16,"M",82,"0"
"Male","< 25","African-American",4,"F",1,"1"
"Male","< 25","African-American",0,"F",1,"1"
"Male","> 45","Caucasian",0,"F",2,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"F",54,"0"
"Female","< 25","African-American",2,"F",14,"0"
"Female","> 45","African-American",7,"F",19,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",3,"F",1,"1"
"Male","< 25","African-American",1,"F",2,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",11,"F",12,"1"
"Male","< 25","African-American",0,"F",2,"0"
"Male","> 45","African-American",10,"F",44,"1"
"Male","25 - 45","African-American",4,"F",1,"1"
"Male","25 - 45","African-American",1,"F",1,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","> 45","African-American",1,"F",1,"0"
"Male","< 25","African-American",0,"M",2,"0"
"Female","25 - 45","African-American",0,"M",1,"0"
"Male","> 45","Caucasian",1,"F",167,"0"
"Male","> 45","African-American",16,"F",68,"1"
"Male","25 - 45","African-American",4,"F",30,"0"
"Male","25 - 45","African-American",8,"F",2,"0"
"Female","25 - 45","African-American",0,"M",1,"0"
"Male","25 - 45","African-American",1,"M",0,"0"
"Female","25 - 45","Caucasian",12,"F",11,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Female","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",9,"F",1,"1"
"Male","> 45","African-American",1,"F",1,"0"
"Male","25 - 45","Caucasian",1,"F",3,"0"
"Female","> 45","Caucasian",0,"M",4,"1"
"Female","> 45","African-American",8,"F",43,"0"
"Male","25 - 45","African-American",5,"F",6,"1"
"Male","> 45","African-American",13,"F",1,"1"
"Male","25 - 45","African-American",8,"F",1,"1"
"Male","< 25","African-American",0,"M",1,"0"
"Male","< 25","African-American",1,"F",1,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",0,"F",74,"0"
"Male","25 - 45","Caucasian",1,"F",293,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","> 45","African-American",30,"F",50,"0"
"Male","> 45","Caucasian",5,"F",0,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Female","25 - 45","African-American",1,"F",1,"0"
"Female","25 - 45","African-American",0,"F",4,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","25 - 45","Caucasian",0,"F",1,"1"
"Male","25 - 45","African-American",1,"F",29,"1"
"Male","> 45","Caucasian",1,"M",1,"0"
"Male","< 25","African-American",2,"F",77,"0"
"Male","> 45","Caucasian",33,"F",242,"1"
"Female","> 45","Caucasian",1,"F",1,"0"
"Male","< 25","African-American",1,"M",27,"1"
"Male","< 25","African-American",4,"F",1,"1"
"Male","25 - 45","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",1,"M",32,"0"
"Male","25 - 45","Caucasian",4,"F",2,"0"
"Female","25 - 45","Caucasian",0,"F",5,"0"
"Male","25 - 45","Caucasian",14,"F",1,"0"
"Male","> 45","Caucasian",1,"M",1,"0"
"Female","< 25","African-American",2,"F",60,"0"
"Male","25 - 45","African-American",15,"F",2,"0"
"Male","25 - 45","African-American",6,"F",2,"1"
"Male","< 25","African-American",1,"F",1,"0"
"Male","> 45","African-American",1,"M",0,"0"
"Male","25 - 45","Caucasian",2,"F",1,"1"
"Male","25 - 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","African-American",1,"F",2,"1"
"Male","25 - 45","African-American",18,"M",34,"1"
"Male","< 25","African-American",1,"F",2,"1"
"Male","25 - 45","Caucasian",1,"F",1,"1"
"Male","> 45","African-American",3,"M",2,"0"
"Female","25 - 45","African-American",14,"F",2,"0"
"Male","25 - 45","African-American",7,"F",2,"1"
"Male","25 - 45","African-American",20,"F",30,"1"
"Male","25 - 45","Caucasian",0,"F",1,"1"
"Male","< 25","Caucasian",0,"M",1,"1"
"Male","25 - 45","Caucasian",2,"F",29,"1"
"Female","25 - 45","African-American",1,"M",0,"0"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",5,"F",155,"1"
"Male","< 25","Caucasian",3,"F",39,"1"
